IDCC;Operateur de competences;Libelle;obs
1558;OPCO 2i;Convention collective nationale relative aux conditions de travail du personnel des industries ceramiques de France;
1563;AFDAS;Convention collective des cadres de la presse hebdomadaire regionale d'information;
1580;OPCO 2i;Convention collective nationale de l'industrie de la chaussure et des articles chaussants;
1586;OCAPIAT;Convention collective nationale de l'industrie de la salaison, charcuterie en gros et conserves de viandes;
1588;OPCO Cohesion sociale;Convention collective du personnel des societes cooperatives d'HLM;
1589;OPCO entreprises de proximite;Convention collective nationale des mareyeurs-expediteurs;
1596;OPCO Construction;Convention collective nationale concernant les ouvriers employes par les entreprises du betiment visees par le decret du 1er mars 1962;
1597;OPCO Construction;Convention collective nationale concernant les ouvriers employes par les entreprises du betiment non visees par le decret 1er mars 1962;
1605;OPCO entreprises de proximite;Convention collective nationale des entreprises de desinfection, desinsectisation, deratisation;
1606;OPCO Commerce;Convention collective nationale du bricolage, vente au detail en libre-service;
1607;OPCO 2i;Convention collective nationale des industries des jeux, jouets, articles de fetes et ornements de Noel, articles de puericulture et voitures d'enfants modelisme et industries connexes;
1611;OPCO entreprises de proximite;Convention collective nationale des entreprises de logistique de communication ecrite directe;
1618;AFDAS;Convention collective du camping ;Arrete du 9 mai 2019 (JO du 1er juin 2019)
1619;OPCO entreprises de proximite;Convention collective nationale des cabinets dentaires;
1621;OPCO entreprises de proximite;Convention collective nationale de la repartition pharmaceutique;
1631;AFDAS;Convention collective nationale de l'hetellerie de plein air;
1659;OCAPIAT;Convention collective nationale du rouissage teillage du lin;
1671;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des maisons d'etudiants;
1672;OPCO ATLAS;Convention collective nationale des societes d'assurances;
1679;OPCO ATLAS;Convention collective nationale de l'inspection d'assurance;
1686;OPCO Commerce;Convention collective nationale des commerces et services de l'audiovisuel, de l'electronique et de l'equipement menager;
1702;OPCO Construction;Convention collective nationale des ouvriers de travaux publics;
1710;OPCO Mobilite;Convention collective nationale du personnel des agences de voyages et de tourisme;
1734;AFDAS;Convention collective des artistes-interpretes engages pour des emissions de television;
1747;OCAPIAT;Convention collective des activites industrielles de boulangerie et de petisserie;
1760;OPCO Commerce;Convention collective nationale des jardineries et graineteries;
1790;AFDAS;Convention collective nationale des espaces de loisirs, d'attractions et culturels;
1794;OPCO Cohesion sociale;Convention collective nationale du personnel des institutions de retraites complementaires;
1801;OPCO ATLAS;Convention collective nationale des societes d'assistance;
1821;OPCO 2i;Convention collective nationale des professions regroupees du cristal, du verre et du vitrail;
1850;OPCO entreprises de proximite;Convention collective de l'avocat salarie;
1874;AFDAS;Convention collective nationale des cadres, techniciens et agents de maetrise de la presse d'information specialisee du 1er juillet 1995;
1875;OPCO entreprises de proximite;Convention collective nationale des cabinets et cliniques veterinaires : personnel salarie;
1880;OPCO Commerce;Convention collective nationale du negoce de l'ameublement;
1895;AFDAS;Convention collective de l'encadrement de la presse quotidienne regionale;
1909;AFDAS;Convention collective nationale des organismes de tourisme;
1921;OPCO entreprises de proximite;Convention collective nationale des huissiers de justice;
1922;AFDAS;Convention collective nationale de la radiodiffusion;
1930;OCAPIAT;Convention collective nationale des metiers de la transformation des grains (ex meunerie);
1938;OCAPIAT;Convention collective nationale des industries de la transformation des volailles (abattoirs, ateliers de decoupe et centres de conditionnement de volailles, commerce de gros de volailles);
1944;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale du personnel navigant technique des exploitants d'helicopteres;
1947;OPCO Construction;Convention collective nationale du negoce de bois d'euvre et produits derives;
1951;OPCO entreprises de proximite;Convention collective nationale des cabinets ou entreprises d'expertises en automobile;
1974;OPCO Mobilite;Convention collective nationale du personnel des entreprises de transport de passagers en navigation interieure;
1978;OPCO entreprises de proximite;Convention collective nationale des fleuristes, de la vente et des services des animaux familiers;
1979;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des hetels, cafes, restaurants (HCR);
1982;OPCO entreprises de proximite;Convention collective nationale du negoce et prestations de services dans les domaines medico-techniques;
1987;OCAPIAT;Convention collective nationale des petes alimentaires seches et du couscous non prepare;
1996;OPCO entreprises de proximite;Convention collective nationale de la pharmacie d'officine;
2002;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective interregionale de la blanchisserie, laverie, location de linge, nettoyage e sec, pressing et teinturerie;
2021;AFDAS;Convention collective nationale du golf;
2046;OPCO Sante;Convention collective nationale du personnel non medical des centres de lutte contre le cancer;
2060;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale des chaenes de cafeterias et assimiles;
2075;OCAPIAT;Convention collective nationale des centres immatricules de conditionnement, de commercialisation et de transformation des eufs et des industries en produits d'eufs;
2089;OPCO 2i;Convention collective nationale de l'industrie des panneaux e base de bois;
2098;OPCO entreprises de proximite;Convention collective nationale du personnel des prestataires de services dans le domaine du secteur tertiaire;
2101;OPCO entreprises et salaries des services e forte intensite de main-d'euvre;Convention collective nationale de l'enseignement prive e distance;
2104;OPCO Sante;Convention collective nationale du thermalisme ;Arrete du 9 mai 2019 (JO du 1er juin 2019)
2111;OPCO entreprises de proximite;Convention collective nationale des salaries du particulier employeur;
2120;OPCO ATLAS;Convention collective de la banque;
2121;AFDAS;Convention collective nationale de l'edition;
2128;OPCO Cohesion sociale;Convention collective nationale de la mutualite;
